date,title,url
2018-12-11,A New Tuition Option: We Make Money Only When You Do,/blog/new-tuition-option
2018-12-06,MongoDB is Easy,/blog/mongodb-is-easy
2018-11-14,Meet The Instructor: Alissa Renz,/blog/meet-the-instructor-alissa-renz
2018-11-05,Error Handling in Express,/blog/error-handling-express
2018-10-16,Four Tips for Moving Faster as a Developer,/blog/developer-productivity
2018-10-08,Five Tips to Manage the Emotional Side of a Coding Program,/blog/five-tips-emotional-management
2018-10-03,Does Emotional Intelligence Get You Paid More in Tech?,/blog/emotional-intelligence
2018-09-27,Post-Outcomes Blog: Top 3 Insights for Job-Seekers,/blog/insights-job-seekers
2018-09-11,"Staff Spotlight - Megan Lane, Operations & Events Associate",/blog/staff-spotlight-megan-lane
2018-08-28,Different Approaches to Using Relational Databases with Express,/blog/different-approaches-express
